,author_id,gender,works_count
348,21387,None,52
349,257937,female,32
350,13757,female,192
351,49699,female,102
352,48895,None,56
353,978484,female,10
354,3621,male,77
355,7577,female,166
356,4414255,male,53
357,9212,female,42
358,11735,male,310
359,11349,female,545
360,38809,male,85
361,6218,female,157
362,5091,male,227
363,20030,None,36
364,188932,male,41
365,1953433,male,28
366,12542,None,156
367,18149,female,101
368,6467114,female,46
369,3530,female,44
370,9824300,female,1
371,9355,None,431
372,3140334,male,7
373,9212,female,42
374,71170,male,62
375,8178,male,69
376,12546,male,46
377,7114556,male,4
378,88301,None,42
379,566,male,187
380,8436083,male,2
381,3780,male,648
382,26372,female,83
383,5295120,None,14
384,11349,female,545
385,589,male,545
386,4864634,female,16
387,38537,male,53
388,12470,male,235
389,6331,female,256
390,5309857,female,16
391,7829666,male,1
392,12470,male,235
393,40552,female,46
394,5088,male,35
395,74640,female,64
396,140695,male,43
397,27779,None,25
398,16218,male,36
399,327737,None,42
400,17065,None,144
401,15830,female,23
402,76405,female,40
403,17061,None,159
404,140695,male,43
405,9915,female,8
406,38809,male,85
407,342135,female,8
408,3780,male,648
409,7844,male,38
410,32590,None,145
411,3780,male,648
412,4040962,male,2
413,630,male,88
414,3936,male,112
415,7849,male,149
416,4464118,female,46
417,16903,male,43
418,8589,male,84
419,38550,male,240
420,17065,None,144
421,1605157,female,4
422,46097,male,98
423,21387,None,52
424,3780,male,648
425,1654,male,394
426,137902,female,81
427,2383,female,20
428,5855,male,13
429,589,male,545
430,566874,female,31
431,49612,female,8
432,6268,female,132
433,3780,male,648
434,5080,female,44
435,16218,male,36
436,108424,male,55
437,4610,male,97
438,164139,female,23
439,2384,female,114
440,346732,male,908
441,3617,female,152
442,11111,male,8
443,4430,None,191
444,46097,male,98
445,16961,female,165
446,14255,female,293
447,30681,male,193
448,88301,None,42
449,16549,female,77
450,1239,female,135
451,10746,male,158
452,10517,male,216
453,47072,male,10
454,3299,male,145
455,88924,female,54
456,3534,female,176
457,5091,male,227
458,137902,female,81
459,12936,male,41
460,2890288,female,5
461,71170,male,62
462,2384,female,114
463,2331,None,43
464,9212,female,42
465,9355,None,431
466,18819,female,54
467,26372,female,83
468,2990843,male,80
469,3058,male,14
470,7577,female,166
471,7581,female,212
472,83937,male,154
473,10289,None,78
474,16549,female,77
475,10289,None,78
476,5091,male,227
477,7128,female,65
478,88301,None,42
479,49941,male,29
480,3936,male,112
481,3505,male,12
482,9291,male,126
483,33508,male,39
484,6571447,female,6
485,3780,male,648
486,3299,male,145
487,13757,female,192
488,14255,female,293
489,3936,male,112
490,221833,male,36
491,6474348,None,29
492,735413,male,43
493,NaN,None,NaN
494,31321,male,171
495,12984,male,18
496,188932,male,41
497,7944,male,11
498,9785,male,18
499,566,male,187
500,1467,male,32
501,4208569,None,46
502,20704,None,18
503,8588,male,161
504,20258,female,76
505,6331,female,256
506,153394,female,33
507,375626,female,92
508,9759,female,173
509,821338,female,12
510,3936,male,112
511,153394,female,33
512,5091,male,227
513,12470,male,235
514,140695,male,43
515,63460,male,45
516,3441,male,93
517,3780,male,648
518,5353,female,96
519,1953433,male,28
520,18411,male,168
521,6218,female,157
522,397,male,171
523,14160478,female,6
524,12940,male,133
525,178832,female,35
526,12672,female,117
527,10746,male,158
528,9890,female,60
529,1825,female,42
530,46097,male,98
531,4711,female,26
532,110485,male,82
533,3075,male,113
534,24514,male,538
535,1239,female,135
536,397,male,171
537,3529,female,45
538,18819,female,54
539,3453636,female,96
540,2895707,female,78
541,1612,male,241
542,6474348,None,29
543,9987,female,92
544,7130,male,13
545,3389,male,1607
546,903,male,1246
547,6429,male,19
548,15128,male,32
549,5791,None,65
550,16094,female,115
551,19051,female,94
552,457,female,63
553,2989,male,83
554,815,male,43
555,322069,None,23
556,3371,male,212
557,2609,female,234
558,151371,female,19
559,7115158,male,14
560,14255,female,293
561,2916869,male,22
562,3081700,female,7
563,7078175,female,12
564,1265,female,1390
565,626222,female,22
566,3489,female,14
567,7128,female,65
568,5768382,female,89
569,7710,female,129
570,5076,female,58
571,1221698,male,1304
572,3354,male,276
573,28186,male,36
574,3399125,male,16
575,221833,male,36
576,6897756,male,22
577,259431,female,14
578,8156113,male,1
579,1238,male,85
580,24689,None,114
581,5088,male,35
582,12577,male,97
583,3780,male,648
584,3509,male,25
585,76671,male,30
586,7710,female,129
587,904719,male,111
588,11724346,female,2
589,26372,female,83
590,21748,female,77
591,41313,female,46
592,10029,male,23
593,160033,female,30
594,6331,female,256
595,12940,male,133
596,19696,male,67
597,19706,male,212
598,281810,female,64
599,3354,male,276
600,24978,None,199
601,23988,female,62
602,28574,female,93
603,9219,female,41
604,4610,male,97
605,4738,male,336
606,575,None,41
607,3490,female,29
608,29621,female,9
609,138825,female,14
610,3529,female,45
611,3505,male,12
612,695300,female,48
613,9550,female,139
614,463,male,140
615,1612,male,241
616,10517,male,216
617,4610,male,97
618,18411,male,168
619,4430,None,191
620,54915,female,33
621,9355,None,275
622,3351454,female,11
623,2786093,female,11
624,5023,None,32
625,3472,female,341
626,3780,male,648
627,10482,None,64
628,3453636,female,96
629,3501,female,24
630,59446,None,304
631,160033,female,30
632,874602,female,642
633,17575761,male,4
634,3389,male,1607
635,18819,female,54
636,9291,male,126
637,2802356,male,402
638,140695,male,43
639,14150,female,57
640,908,male,63
641,9550,female,139
642,11349,female,545
643,2345,male,110
644,9212,female,42
645,6519108,female,33
646,12803,male,572
647,615274,None,24
648,2384,female,114
649,861,female,42
650,713,female,18
651,49607,male,20
652,3472,female,341
653,8214,male,45
654,18819,female,54
655,11783,male,27
656,706255,male,66
657,14229489,male,14
658,11630,female,48
659,4610,male,97
660,3505,male,12
661,3401307,None,6
662,7849,male,149
663,32638,None,160
664,3354,male,376
665,10517,male,216
666,2961590,male,24
667,9550,female,139
668,16024,male,175
669,3780,male,648
670,18411,male,168
671,6474348,None,29
672,828924,male,7
673,23988,female,62
674,3936,male,112
675,39467,male,104
676,29542,female,92
677,2345,male,110
678,6492,female,66
679,3780,male,648
680,8588,male,161
681,2522,female,74
682,11349,female,545
683,2384,female,114
684,1069006,male,520
685,1858,male,190
686,316,female,14
687,370361,male,37
688,160033,female,30
689,195905,None,19
690,2345,male,110
691,222429,female,11
692,36935,female,25
693,3780,male,648
694,26372,female,83
695,9355,None,431
696,7184,female,94
697,3447,None,185
698,6160,None,65
699,589,male,545
700,21387,None,52
701,4610,male,97
702,9987,female,92
703,24556,female,11
704,7128,female,65
705,1612,male,241
706,7168230,female,35
707,3389,male,1607
708,14255,female,293
709,181668,female,11
710,23988,female,62
711,8120,male,202
712,1415338,male,98
713,4178,male,41
714,6760,female,80
715,18411,male,168
716,24689,None,114
717,1251730,male,8
718,6492,female,66
719,38550,male,240
720,1351903,male,145
721,1432,male,45
722,14655,male,44
723,9057,male,235
724,2715,male,43
725,43691,female,43
726,721,male,264
727,2958717,female,11
728,56,male,103
729,4624490,male,4305
730,49229,male,9
731,3275,female,6
732,3453636,female,96
733,142270,male,30
734,10746,male,158
735,584064,male,19
736,6438152,male,4
737,8759,male,50
738,17452454,female,124
739,100030,male,13
740,3780,male,648
741,24689,None,114
742,1421619,male,19
743,9972,female,11
744,1315,female,861
745,2918424,female,38
746,12014,None,494
747,6160,None,65
748,14002,male,129
749,14255,female,293
750,10746,male,158
751,54958,female,64
752,NaN,None,NaN
753,397,male,171
754,46097,male,98
755,3892,male,276
756,71688,female,191
757,290189,female,15
758,5088,male,35
759,369288,male,17
760,327983,male,20
761,24689,None,114
762,5351825,None,19
763,194531,male,16
764,6760,female,80
765,6543330,female,242
766,9629,male,188
767,41032,female,40
768,16290,female,70
769,34372,male,7
770,7153,male,50
771,10517,male,216
772,14493315,female,3
773,9388,None,94
774,43948,female,30
775,2849,male,62
776,1221698,male,1304
777,9291,male,126
778,2937372,female,11
779,188932,male,41
780,7031,male,83
781,3780,male,648
782,69379,None,132
783,9559,female,94
784,4573983,female,23
785,9241,female,138
