,author,author_id,average_rating,book_id,ratings_count,title,title_query
75,Glenn Beck,188932,3.82,17706554,1024,"The Eye of Moloch (Overton Window, #2)",THE EYE OF MOLOCH
76,Randy Susan Meyers,3006839,3.69,6674372,13213,The Murderer's Daughters,THE MURDERER'S DAUGHTER
77,S.H. Kolee,6435350,3.74,17458607,429,Hunting Shadows (Shadow #3),HUNTING SHADOWS
78,John Grisham,721,3.81,13154952,35627,Calico Joe,CALICO JOE
79,Eric Van Lustbader,39467,3.92,9682791,4440,"The Bourne Dominion (Jason Bourne, #9)",THE BOURNE DOMINION
80,Diana Gabaldon,3617,4.23,32739396,6343,Seven Stones to Stand or Fall,SEVEN STONES TO STAND OR FALL
81,Christie Golden,7710,3.81,34364387,3393,Battlefront II: Inferno Squad,BATTLEFRONT II: INFERNO SQUAD
82,Danielle Steel,14255,3.89,6363484,6032,Southern Lights,SOUTHERN LIGHTS
83,Erin Bowman,4774653,3.76,11044367,11156,"Taken (Taken, #1)",TAKEN
84,Daniel Silva,29085,4.30,5739373,24665,"The Defector (Gabriel Allon, #9)",THE DEFECTOR
85,John Lescroart,10521,4.12,5802612,4792,"A Plague of Secrets (Dismas Hardy, #13)",A PLAGUE OF SECRETS
86,J.D. Robb,17065,4.41,3492020,28896,"Promises in Death (In Death, #28)",PROMISES IN DEATH
87,Jasper Fforde,4432,3.95,8131227,16395,"One of Our Thursdays Is Missing (Thursday Next, #6)",ONE OF OUR THURSDAYS IS MISSING
88,Fannie Flagg,6125,3.57,7897620,15937,I Still Dream About You,I STILL DREAM ABOUT YOU
89,John le Carré,1411964,3.40,7839766,9168,Our Kind of Traitor,OUR KIND OF TRAITOR
90,Jennifer Egan,49625,3.40,774726,10385,Look at Me,LOOK FOR ME
91,Curtis Sittenfeld,6429,3.35,16099180,34953,Sisterland,SISTERLAND
92,Kresley Cole,4428,4.42,10790516,36245,"Lothaire (Immortals After Dark, #12)",LOTHAIRE
93,Orson Scott Card,589,3.90,3220405,41861,"Ender in Exile (Ender's Saga, #1.2)",ENDER IN EXILE
94,M.J. Hyland,136085,3.43,251052,3480,How the Light Gets In,HOW THE LIGHT GETS IN
95,Steve Berry,3621,3.93,21853687,7918,"The Patriot Threat (Cotton Malone, #10)",THE PATRIOT THREAT
96,Lorrie Moore,11746,3.15,6076387,16011,A Gate at the Stairs,A GATE AT THE STAIRS
97,Francine Rivers,6492,4.36,8142508,13429,"Her Daughter's Dream (Marta's Legacy, #2)",HER DAUGHTER'S DREAM
98,Charlaine Harris,17061,3.77,28220808,6102,"All the Little Liars (Aurora Teagarden, #9)",ALL THE LITTLE LIARS
99,Albert Camus,957894,3.97,49552,573467,The Stranger,THE STRANGER
100,Mary Higgins Clark,99044,3.62,30753558,8613,"All By Myself, Alone","ALL BY MYSELF, ALONE"
101,Harlan Coben,24689,3.98,6681454,44069,Caught,CAUGHT
102,Joanne Fluke,18819,3.75,11796251,7990,"Cinnamon Roll Murder (Hannah Swensen, #15)",CINNAMON ROLL MURDER
103,Lisa Wingate,178832,4.36,32148570,188316,Before We Were Yours,BEFORE WE WERE YOURS
104,Christine Feehan,6268,4.26,12398199,8808,"Dark Storm (Dark, #20)",DARK STORM
105,Kimberly McCreight,6452053,3.83,15776309,111156,Reconstructing Amelia,RECONSTRUCTING AMELIA
106,Sophie Kinsella,6160,3.71,7415016,48050,"Mini Shopaholic (Shopaholic, #6)",MINI SHOPAHOLIC
107,Jeff Shaara,14655,4.17,15981669,2416,"A Chain of Thunder (Civil War: 1861-1865, Western Theater, #2)",A CHAIN OF THUNDER
108,Kimberly Marcus,4044314,3.73,8320987,2746,Exposed,EXPOSED
109,James Patterson,3780,3.80,2029176,23962,Sail,SAIL
110,Joanne Fluke,18819,3.48,28439435,4782,"Christmas Caramel Murder (Hannah Swensen, #20)",CHRISTMAS CARAMEL MURDER
111,David Foster Wallace,4339,3.95,9443405,13613,The Pale King,THE PALE KING
112,Sara Paretsky,28509,3.87,24875357,2970,"Brush Back (V.I. Warshawski, #17)",BRUSH BACK
113,Meg Cabot,11654,3.82,2068676,31991,"Queen of Babble Gets Hitched (Queen of Babble, #3)",QUEEN OF BABBLE GETS HITCHED
114,Brandon Sanderson,38550,4.65,7235533,221651,"The Way of Kings (The Stormlight Archive, #1)",THE WAY OF KINGS
115,Sarah Addison Allen,566874,3.96,21853633,27287,"First Frost (Waverley Family, #2)",FIRST FROST
116,T. Coraghessan Boyle,1064072,3.61,25756271,5454,The Harder They Come,THE HARDER THEY COME
117,Eric Van Lustbader,39467,4.07,7144426,17690,"The Bourne Objective (Jason Bourne, #8)",THE BOURNE OBJECTIVE
118,Joel C. Rosenberg,221833,4.33,11474598,5051,"The Tehran Initiative (The Twelfth Imam, #2)",THE TEHRAN INITIATIVE
119,Cath Crowley,1348627,4.10,31952703,15742,Words in Deep Blue,DEEP BLUE
120,Oliver Pötzsch,2783820,3.73,9496240,62411,"The Hangman's Daughter (The Hangman's Daughter, #1)",HANGMAN
121,Peter Straub,6941,3.95,19581,62176,Ghost Story,GHOST STORY
122,Garth Risk Hallberg,787031,3.41,24189224,12286,City on Fire,CITY ON FIRE
123,Robert Knott,828924,3.85,15824167,2334,"Robert B. Parker's Ironhorse (Virgil Cole and Everett Hitch, #5)",ROBERT B PARKER'S IRONHORSE
124,Anna Quindlen,3500,3.64,17884042,45862,Still Life with Bread Crumbs,STILL LIFE WITH BREAD CRUMBS
125,Joel C. Rosenberg,221833,4.21,9246711,6827,"The Twelfth Imam (The Twelfth Imam, #1)",THE TWELFTH IMAM
126,James Patterson,3780,3.36,8273044,11236,Toys,TOYS
127,Claire Messud,2508,3.31,15701217,29256,The Woman Upstairs,THE WOMAN UPSTAIRS
128,Joanna Bourne,486041,4.02,959745,6244,"The Spymaster's Lady (Spymasters, #1)",SPYMASTER
129,Michael Connelly,12470,4.12,17333227,36489,"The Gods of Guilt (Mickey Haller, #5; Harry Bosch Universe, #25)",THE GODS OF GUILT
130,Lev Grossman,142270,4.16,19103097,54624,"The Magician's Land (The Magicians, #3)",THE MAGICIAN'S LAND
131,Adriana Trigiani,9219,3.99,13127599,69319,The Shoemaker's Wife,THE SHOEMAKER'S WIFE
132,George R.R. Martin,346732,4.45,13496,1704082,"A Game of Thrones (A Song of Ice and Fire, #1)",ICE
133,Dennis F. Larsen,6894226,3.72,17253906,53,With Cruel Intent,CRUEL INTENT
134,Douglas Preston,12577,4.12,20980959,15220,"Blue Labyrinth (Pendergast, #14)",BLUE LABYRINTH
135,Michael Connelly,12470,4.32,34390820,31950,"Two Kinds of Truth (Harry Bosch, #20; Harry Bosch Universe, #30)",TWO KINDS OF TRUTH
136,James Rollins,38809,4.13,23434061,10471,"The Bone Labyrinth (Sigma Force, #11)",THE BONE LABYRINTH
137,James Patterson,3780,3.84,11343348,19618,"Private Games (Private, #3)",PRIVATE GAMES
138,Gabriel Tallent,16231256,3.65,33572350,27582,My Absolute Darling,MY ABSOLUTE DARLING
139,Mary Higgins Clark,99044,3.68,842355,4246,Silent Night,SILENT NIGHT
140,Stuart Woods,3936,3.68,20821226,3693,"Paris Match (Stone Barrington, #31)",PARIS MATCH
141,Sherrilyn Kenyon,4430,4.52,13079147,7734,Born of Fury (The League: Nemesis Rising #6),BORN OF FURY
142,Michael Connelly,12470,4.00,6413193,33502,"Nine Dragons (Harry Bosch, #14; Harry Bosch Universe, #20)",NINE DRAGONS
143,Judy Blume,12942,3.52,23899174,56720,In the Unlikely Event,IN THE UNLIKELY EVENT
144,Eoin Colfer,10896,3.84,249747,437947,"Artemis Fowl (Artemis Fowl, #1)",ARTEMIS
145,Douglas Preston,12577,4.01,2197227,20562,"Cemetery Dance (Pendergast, #9)",CEMETERY DANCE
146,Viktor E. Frankl,2782,4.35,4069,268358,Man's Search for Meaning,THE SEARCH
147,Stephen White,20950,3.68,17415169,1626,"Compound Fractures (Alan Gregory, #20)",COMPOUND FRACTURES
148,Elin Hilderbrand,88301,3.83,18656006,27292,The Matchmaker,THE MATCHMAKER
149,Gail Carriger,2891665,3.80,12799420,11940,"Prudence (The Custard Protocol, #1)",PRUDENCE
150,Pete Nelson,63539,3.83,109802,1451,Left for Dead,LEFT FOR DEAD
151,Jack Campbell,55547,4.03,9676849,11615,"Dreadnaught (The Lost Fleet: Beyond the Frontier, #1)",THE LOST FLEET. BEYOND THE FRONTIER: DREADNAUGHT
152,Eric Jerome Dickey,12936,3.99,1686166,1646,Tempted by Trouble,TEMPTED BY TROUBLE
153,M.L. Stedman,5755257,4.02,13158800,348057,The Light Between Oceans,THE LIGHT BETWEEN OCEANS
154,Stephen Hunter,12546,3.81,2990651,3250,"Night of Thunder (Bob Lee Swagger, #5)",NIGHT OF THUNDER
155,Douglas Preston,12577,4.13,136637,30448,"Brimstone (Pendergast, #5; Diogenes, #1)",BRIMSTONE
156,David Ignatius,100030,3.74,13093648,2239,Bloodmoney,BLOODMONEY
157,Neil Gaiman,1221698,3.92,22522808,43998,Trigger Warning: Short Fictions and Disturbances,TRIGGER WARNING
158,Jonathan Kellerman,43626,3.69,31849494,4601,"Crime Scene (Clay Edison, #1)",CRIME SCENE
159,Arthur  Miller,8120,3.56,17250,282149,The Crucible,CRUCIBLE
160,David Graham,69379,3.91,2034476,718,Down to a Sunless Sea,A SUNLESS SEA
161,Ian McEwan,2408,3.69,30008702,34810,Nutshell,NUTSHELL
162,Stuart Woods,3936,3.74,3537195,2775,"Mounting Fears (Will Lee, #7)",MOUNTING FEARS
163,Ashley Elston,5317545,3.91,13018503,8037,"The Rules for Disappearing (The Rules for Disappearing, #1)",THE DISAPPEARED
164,Jeffery Deaver,1612,3.81,5568007,9882,"Roadside Crosses (Kathryn Dance, #2)",ROADSIDE CROSSES
165,Caroline Mitchell,3076677,3.94,35389818,17418,Silent Victim,VICTIMS
166,J. Ryan Stradal,9761936,3.77,23398625,28778,Kitchens of the Great Midwest,KITCHENS OF THE GREAT MIDWEST
167,Jay Asher,569269,3.97,29844228,673564,Thirteen Reasons Why,THIRTEEN
168,Laurie R. King,6760,4.16,5226845,12676,"The Language of Bees (Mary Russell, #9)",THE LANGUAGE OF BEES
169,Kim Harrison,17054,4.45,8138071,41467,"Pale Demon (The Hollows, #9)",PALE DEMON
170,Elizabeth  George,1402383,3.79,11737276,11353,"Believing the Lie (Inspector Lynley, #17)",BELIEVING THE LIE
171,Linda Fairstein,48895,3.74,18693651,3387,"Terminal City (Alexandra Cooper, #16)",TERMINAL CITY
172,Mike Greenberg,7944,3.68,15818396,4715,All You Could Ask For,ALL YOU COULD ASK FOR
173,John Scalzi,4763,3.84,13055592,74174,Redshirts,REDSHIRTS
174,Robert Jordan,6252,4.36,1166599,112192,"The Gathering Storm (Wheel of Time, #12)",THE GATHERING STORM
175,Mary Kay Andrews,21387,3.61,23245594,13149,Beach Town,BEACH TOWN
176,James Patterson,3780,3.79,6987558,13721,Don't Blink,DON'T BLINK
177,Orson Scott Card,589,3.94,13151129,37505,"Earth Unaware (The First Formic War, #1)",EARTH UNAWARE
178,John Scalzi,4763,3.88,21418013,45172,"Lock In (Lock In, #1)",LOCK IN
179,James Patterson,3780,3.85,33143062,7005,"Fifty Fifty (Detective Harriet Blue, #2)",FIFTY FIFTY
180,Sandra Brown,6218,4.05,10875239,25907,Lethal,LETHAL
181,Reed Farrel Coleman,138518,3.91,20821292,3722,"Robert B. Parker's Blind Spot (Jesse Stone, #13)",ROBERT B PARKER'S BLIND SPOT
182,Alan Furst,49941,3.89,7440139,4763,"Spies of the Balkans (Night Soldiers, #11)",SPIES OF THE BALKANS
183,Carl Hiaasen,8178,3.81,28185972,14362,"Razor Girl (Andrew Yancy, #2)",RAZOR GIRL
