,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
1743,THE BURNING LAND,Bernard Cornwell,Harper/HarperCollins,"In the fifth of the Saxon Tales, the ninth-century Saxon warrior Uhtred breaks with King Alfred, but eventually returns to help fight the Danes.",12,2,THE+BURNING+LAND
1744,THE FIRST RULE,Robert Crais,Putnam,"

Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered.",12,4,THE+FIRST+RULE
1747,THE WOLF AT THE DOOR,Jack Higgins,Putnam,"Someone is targeting the members of an elite British intelligence team, and Sean Dillon believes it is an old nemesis.",11,4,THE+WOLF+AT+THE+DOOR
1763,BLOOD TIES,Kay Hooper,Bantam,The F.B.I. agent Noah Bishop and his special crimes unit  pursue a brutal enemy.,19,1,BLOOD+TIES
1771,THE BURNING LAND,Bernard Cornwell,Harper/HarperCollins,The ninth-century Saxon warrior Uhtred breaks with King Alfred but returns to fight the Danes.,12,2,THE+BURNING+LAND
1775,GATOR A-GO-GO,Tim Dorsey,Morrow/HarperCollins,"Serge A. Storms, the vigilante serial killer, and his stoned sidekick do spring break in Florida.",16,1,GATOR+A-GO-GO
1780,WORST CASE,James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.,1,8,WORST+CASE
1782,FLIRT,Laurell K Hamilton,Berkley,"Anita Blake, vampire hunter, and the males in her life; the 18th book in the series.",14,4,FLIRT
1783,WINTER GARDEN,Kristin Hannah,St. Martin’s,"After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother.",11,5,WINTER+GARDEN
1785,SECRETS OF EDEN,Chris Bohjalian,Shaye Areheart,"Murder, domestic abuse, spirituality and secrets in a small Vermont town.",12,2,SECRETS+OF+EDEN
1804,FLIRT,Laurell K Hamilton,Berkley,"Anita Blake, vampire hunter, and the males in her life.",14,4,FLIRT
1805,POOR LITTLE BITCH GIRL,Jackie Collins,St. Martin’s,"Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner.",12,4,POOR+LITTLE+BITCH+GIRL
1806,"BRAVA, VALENTINE",Adriana Trigiani,Harper/HarperCollins,"An Italian-American shoemaker faces challenges at work, in her family and in love; the second book in a trilogy.",13,3,"BRAVA,+VALENTINE"
1807,THE POSTMISTRESS,Sarah Blake,Amy Einhorn/Putnam,"

Ordinary life in a Massachusetts small town and an American radio reporter in England in the 1940s.",10,4,THE+POSTMISTRESS
1808,THE MIDNIGHT HOUSE,Alex Berenson,Putnam,Who is killing members of a secret unit that interrogated terrorists? The C.I.A. agent John Wells is on the case.,12,2,THE+MIDNIGHT+HOUSE
1813,THE SWAN THIEVES,Elizabeth Kostova,"Little, Brown",A psychiatrist treats a man who tried to slash a canvas in the National Gallery .,14,5,THE+SWAN+THIEVES
1815,THE WOLF AT THE DOOR,Jack Higgins,Putnam,"Someone is targeting the members of an elite British intelligence team, and Sean Dillon investigates.",11,4,THE+WOLF+AT+THE+DOOR
1816,A DARK MATTER,Peter Straub,Doubleday,A writer investigates what happened to his wife and others who fell under the spell of a charismatic campus guru in the 1960s.,17,0,A+DARK+MATTER
1825,THE MAN FROM BEIJING,Henning Mankell,Knopf,A massacre in a tiny Swedish village has roots in the past and on other continents.,12,3,THE+MAN+FROM+BEIJING
1826,THE THREE WEISSMANNS OF WESTPORT,Cathleen Schine,"Sarah Crichton/Farrar, Straus & Giroux","
Two sisters — one logical, one emotional — move in with their mother when her ex-husband kicks her out of the family apartment; a tribute to Austen’s “Sense and Sensibility.”",14,3,THE+THREE+WEISSMANNS+OF+WESTPORT
1829,HORNS,Joe Hill,Morrow/HarperCollins,"
After the rape and murder of his girlfriend, a distraught young man discovers that he has grown horns.",10,2,HORNS
1834,THE LAST SURGEON,Michael Palmer,St. Martin’s,A surgeon and a nurse track a killer whose specialty is murders that don’t look like murder.,15,1,THE+LAST+SURGEON
1840,FANTASY IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur; by Nora Roberts, writing pseudonymously.",1,3,FANTASY+IN+DEATH
1842,BLACK MAGIC SANCTION,Kim Harrison,Eos/HarperCollins,A witch who is also a bounty hunter is shunned by her kind; the eighth Rachel Morgan book.,15,3,BLACK+MAGIC+SANCTION
1843,SPLIT IMAGE,Robert B Parker,Putnam,"Jesse Stone, the police chief of Paradise, Mass., copes with divorce, the bottle and the murder of a mob soldier.",13,5,SPLIT+IMAGE
1844,BIG GIRL,Danielle Steel,Delacorte,A woman with weight issues learns to accept herself.,12,4,BIG+GIRL
1850,APPLE TURNOVER MURDER,Joanne Fluke,Kensington,Hannah Swensen searches for the killer of an amorous professor; recipes included.,11,1,APPLE+TURNOVER+MURDER
1854,HORNS,Joe Hill,Morrow/HarperCollins,A distraught young man discovers that he has grown horns.,10,2,HORNS
1857,THE THREE WEISSMANNS OF WESTPORT,Cathleen Schine,"Sarah Crichton/Farrar, Straus & Giroux","In this tribute to Austen’s “Sense and Sensibility,” two sisters — one logical, one emotional — move in with their mother when her ex-husband kicks her out of the family apartment.",14,3,THE+THREE+WEISSMANNS+OF+WESTPORT
1858,THE MIDNIGHT HOUSE,Alex Berenson,Putnam,Who is killing members of a secret unit that interrogated terrorists out of a secret base in Poland called the Midnight House? The C.I.A. agent John Wells is on the case.,12,2,THE+MIDNIGHT+HOUSE
1860,HOUSE RULES,Jodi Picoult,Atria,A teenage boy with Asperger’s syndrome is accused of murder.,1,9,HOUSE+RULES
1863,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central,Lincoln fights the undead; by the author of “Pride and Prejudice and Zombies.,13,7,ABRAHAM+LINCOLN:+VAMPIRE+HUNTER
1873,THE THREE WEISSMANNS OF WESTPORT,Cathleen Schine,"Sarah Crichton/Farrar, Straus & Giroux","

Two sisters — one logical, one emotional — move in with their mother when her ex-husband kicks her out of the family apartment; a tribute to Austen’s “Sense and Sensibility.”",14,3,THE+THREE+WEISSMANNS+OF+WESTPORT
1875,SHALADOR’S LADY,Anne Bishop,Roc,The eighth Black Jewels epic fantasy.,16,1,SHALADOR%27S+LADY
1882,THE SILENT SEA,Clive Cussler and Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon make discoveries that lead back to an ancient Chinese expedition.,15,5,THE+SILENT+SEA
1883,BACKLASH,Aaron Allston,Del Rey/Ballantine/Lucas,"n the second novel in the “Star Wars: Fate of the Jedi” series, a being of pure dark-side energy looms.",11,2,BACKLASH
1884,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central,"Lincoln fights the undead; by the author of “Pride and Prejudice and Zombies.""",13,7,ABRAHAM+LINCOLN:+VAMPIRE+HUNTER
1885,DEEP SHADOW,Randy Wayne White,Putnam,Murderers want Doc Ford to help them dive for the remains of a wrecked plane supposedly laden with Cuban gold.,14,3,DEEP+SHADOW
1886,ANGELOLOGY,Danielle Trussoni,Viking,"A nun is drawn into an ancient struggle against the Nephilim, hybrid offspring of humans and heavenly beings.",10,4,ANGELOLOGY
1888,HELL GATE,Linda Fairstein,Dutton,"Alexandra Cooper, a Manhattan assistant district attorney, discovers a link between the wreck of a ship carrying human cargo and a sex scandal involving a promising New York congressman.",15,2,HELL+GATE
1893,MAJOR PETTIGREW’S LAST STAND,Helen Simonson,Random House,A retired major falls in love with a widowed shopkeeper in this traditional village novel set in a very modern England.,14,1,MAJOR+PETTIGREW%27S+LAST+STAND
1895,THE POSTMISTRESS,Sarah Blake,Amy Einhorn/Putnam,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow.",10,4,THE+POSTMISTRESS
1899,THE SURRENDERED,Chang-Rae Lee,Riverhead,,20,0,THE+SURRENDERED
1903,THINK TWICE,Lisa Scottoline,St. Martin’s,A woman takes over her twin sister’s life.,12,3,THINK+TWICE
1909,THE GIRL WHO CHASED THE MOON,Sarah Addison Allen,Bantam,Mysteries and magic in a quirky North Carolina town.,10,1,THE+GIRL+WHO+CHASED+THE+MOON
1910,BACKLASH,Aaron Allston,Del Rey/Ballantine/Lucas,"In the second novel in the “Star Wars: Fate of the Jedi” series, a being of pure dark-side energy looms.",11,2,BACKLASH
1911,HER MOTHER'S HOPE,Francine Rivers,Tyndale House,"
Issues of love, ambition and acceptance  trouble three generations of mothers and daughters.",12,1,HER+MOTHER%27S+HOPE
1915,THE SPELLMANS STRIKE AGAIN,Lisa Lutz,Simon & Schuster,"
More comic mayhem at a family-run firm of investigators; the  fourth book in a series.",16,1,THE+SPELLMANS+STRIKE+AGAIN
1919,MAJOR PETTIGREW’S LAST STAND,Helen Simonson,Random House,"In an English village, a retired major mourning the death of his brother is gradually drawn to a shopkeeper of Pakistani descent who shares his love of Kipling.",14,1,MAJOR+PETTIGREW%27S+LAST+STAND
1920,CAUGHT,Harlan Coben,Dutton,A suburban girl goes missing.,1,5,CAUGHT
1924,BITE ME,Christopher Moore,Morrow/HarperCollins,Saving San Francisco from a vampyre cat.,19,2,BITE+ME
1926,MATTERHORN,Karl Marlantes,El León Literary Arts/Atlantic Monthly,Marines in Vietnam in 1969.,10,8,MATTERHORN
1928,SHATTERED,Karen Robards,Putnam,"Investigating a cold case about a family that disappeared in 1981, a woman discovers that she resembles the missing girl.",14,2,SHATTERED
1931,THE MAPPING OF LOVE AND DEATH,Jacqueline Winspear,Harper/HarperCollins,"In 1932, the psychologist Maisie Dobbs searches for the nurse who wrote love letters to a young cartographer killed in World War I.",12,1,THE+MAPPING+OF+LOVE+AND+DEATH
1936,BIG GIRL,Danielle Steel,Delacorte,A young woman with a weight problem worries about her sister’s engagement to a man very much like their narcissistic father.,12,4,BIG+GIRL
1939,HER MOTHER'S HOPE,Francine Rivers,Tyndale House,The first of a two-book narrative that explores the complicated relationships between mothers and daughters over several generations.,12,1,HER+MOTHER%27S+HOPE
1940,SILVER BORNE,Patricia Briggs,Ace,"In the fifth book starring Mercy Thompson, a shapeshifter and auto mechanic in Washington State, Mercy works on her relationship with the leader of the werewolf pack and helps a suicidal friend.",1,3,SILVER+BORNE
1942,CAUGHT,Harlan Coben,Dutton,"When a suburban girl goes missing, her parents and her community, as well as a reporter and a social worker, are drawn into the search.",1,5,CAUGHT
1943,DECEPTION,Jonathan Kellerman,Ballantine,The Los Angeles psychologist-detective Alex Delaware collaborates with the detective Milo Sturgis to help solve a murder at a prestigious prep school.,12,4,DECEPTION
1945,SOLAR,Ian McEwan,Nan. A Talese/Doubleday,"A Nobel Prize-winning physicist past his prime manages, through greed and dishonesty, to reinvent his career, punish his cheating wife and save the world from global warming; from the author of “Atonement.”",12,2,SOLAR
1950,WITHOUT MERCY,Lisa Jackson,Kensington,"Students are dying at an Oregon boarding school for wayward kids, and the concerned new teacher may be the next target.",11,1,WITHOUT+MERCY
1955,WORST CASE,James Patterson and Michael Ledwidge,"Little, Brown","Michael Bennett, a New York detective raising 10 children, investigates a string of kidnappings and killings by a villain with unusual motives.",1,8,WORST+CASE
1960,CHANGES,Jim Butcher,Roc,Book 12 of the Dresden Files series about a wizard detective in Chicago.,1,4,CHANGES
1963,THE WALK,Richard Paul Evans,Simon & Schuster,A Seattle ad executive loses everything and starts walking to Key West.,10,3,THE+WALK
1964,A RIVER IN THE SKY,Elizabeth Peters,Morrow/HarperCollins,"In 1910, the Peabody-Emerson clan tries to head off a holy war in Palestine; an Amelia Peabody mystery.",16,1,A+RIVER+IN+THE+SKY
1965,SILVER BORNE,Patricia Briggs,Ace,The shapeshifter Mercy Thompson works on her relationship with the leader of the werewolf pack and helps a suicidal friend.,1,3,SILVER+BORNE
1967,THE BLACK CAT,Martha Grimes,Viking,An unknown woman dressed to kill is found shot to death on the patio of a modest village pub; a Richard Jury mystery.,19,1,THE+BLACK+CAT
1968,DECEPTION,Jonathan Kellerman,Ballantine,The Los Angeles psychologist-detective Alex Delaware and the detective Milo Sturgis work on a prep-school murder case.,12,4,DECEPTION
1970,THE ALOHA QUILT,Jennifer Chiaverini,Simon & Schuster,"With her divorce looming, Bonnie Markham visits a friend in Hawaii; an Elm Creek Quilts novel.",11,1,THE+ALOHA+QUILT
1971,SOLAR,Ian McEwan,Nan. A Talese/Doubleday,"A physicist cheats on his wives, sends an innocent man to jail and tries to cash in on another’s plans against global warming.",12,2,SOLAR
1972,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central,Lincoln vs. the undead.,13,7,ABRAHAM+LINCOLN:+VAMPIRE+HUNTER
1973,CAT OF THE CENTURY,Rita Mae Brown,Bantam,A killer is determined to turn a birthday party into a funeral; a Mrs. Murphy mystery.,14,1,CAT+OF+THE+CENTURY
1975,IMPERFECT BIRDS,Anne Lamott,Riverhead,"A 17-year-old with a drug habit deceives her parents, with profound consequences.",16,1,IMPERFECT+BIRDS
1976,NOWHERE TO RUN,C J Box,Putnam,,17,0,NOWHERE+TO+RUN
1977,MISS JULIA RENEWS HER VOWS,Ann B Ross,Viking,,18,0,MISS+JULIA+RENEWS+HER+VOWS
1979,THE LAST TIME I SAW YOU,Elizabeth Berg,Random House,,20,0,THE+LAST+TIME+I+SAW+YOU
1980,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,Simon & Schuster,An elderly woman must decide whether to reveal a family secret.,1,6,THE+SHADOW+OF+YOUR+SMILE
1984,EVERY LAST ONE,Anna Quindlen,Random House,"After a shocking assault on her family, a woman must discover how to live the rest of her life.",10,4,EVERY+LAST+ONE
1987,WRECKED,Carol Higgins Clark,Scribner,"In the 13th mystery in this series, the suspicious disappearance of a neighbor interrupts a romantic weekend on Cape Cod for the P.I. Regan Reilly and her husband.",17,1,WRECKED
1988,A MIGHTY FORTRESS,David Weber,Tor/Tom Doherty,"Book 4 of the Safehold series, which translates the bloody religious wars of 17th-century Europe to a future civilization on the planet Safehold.",9,1,A+MIGHTY+FORTRESS
1992,BEATRICE AND VIRGIL,Yann Martel,Spiegel & Grau,"The tragic fate of the title characters, a donkey named Beatrice and a monkey named Virgil, stuffed animals in a taxidermy shop, is an allegory for the Holocaust; from the author of “The Life of Pi.”",13,2,BEATRICE+AND+VIRGIL
1993,THE BRIDE COLLECTOR,Ted Dekker,Center Street,An F.B.I. agent pursuing a killer who targets beautiful young women enlists the help of the residents of a home for the intellectually gifted mentally ill.,14,1,THE+BRIDE+COLLECTOR
1997,THE SILENT SEA,Clive Cussler and Jack Du Brul,Putnam,"Juan Cabrillo and the crew of the Oregon, chasing the remnants of a crashed satellite in the Argentine jungle, make discoveries that lead back to an ancient Chinese expedition.",15,5,THE+SILENT+SEA
2000,DELIVER US FROM EVIL,David Baldacci,Grand Central,"Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.",1,6,DELIVER+US+FROM+EVIL
2002,THE DOUBLE COMFORT SAFARI CLUB,Alexander McCall Smith,Pantheon,"
The 11th novel in the No. 1 Ladies’ Detective Agency series.",11,4,THE+DOUBLE+COMFORT+SAFARI+CLUB
2003,THIS BODY OF DEATH,Elizabeth George,Harper/HarperCollins,Detective Thomas Lynley becomes involved when a woman’s body is found in a London cemetery.,14,4,THIS+BODY+OF+DEATH
2004,LUCID INTERVALS,Stuart Woods,Putnam,"Stone Barrington, the New York cop turned lawyer, helps search for a former British intelligence operative.",18,2,LUCID+INTERVALS
2006,BURNING LAMP,Amanda Quick,Putnam,"A Victorian crime lord fears he has fallen prey to an ancestral curse, and only a magical artifact can save him; an Arcane Society novel and the second book in the Dreamlight trilogy.",15,2,BURNING+LAMP
2008,EIGHT DAYS TO LIVE,Iris Johansen,St. Martin’s,"
A painting by Eve Duncan’s adopted daughter draws the ire of a religious cult.",14,2,EIGHT+DAYS+TO+LIVE
2015,BEATRICE AND VIRGIL,Yann Martel,Spiegel & Grau,The fate of stuffed animals in a taxidermy shop is an allegory for the Holocaust; from the author of “The Life of Pi.”,13,2,BEATRICE+AND+VIRGIL
2018,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central,"A journal reveals Lincoln’s fight against the undead; by the author of “Pride and Prejudice and Zombies.""",13,7,ABRAHAM+LINCOLN:+VAMPIRE+HUNTER
2020,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,"Little, Brown",Detective Lindsay Boxer pursues a killer who’s preying on women and children.,1,7,THE+9TH+JUDGMENT
2021,LOVER MINE,J R Ward,New American Library,Book 8 of the Black Dagger Brotherhood series.,10,5,LOVER+MINE
2024,HANNAH'S LIST,Debbie Macomber,Mira,A doctor receives a letter from his dead wife in which she asks him to marry one of three women she has chosen for him.,11,3,HANNAH%27S+LIST
2026,THE DOUBLE COMFORT SAFARI CLUB,Alexander McCall Smith,Pantheon,The 11th novel in the No. 1 Ladies’ Detective Agency series.,11,4,THE+DOUBLE+COMFORT+SAFARI+CLUB
2030,THE GOD OF THE HIVE,Laurie R King,Bantam,"Mary Russell and her husband, Sherlock Holmes, are separated and on the run from a ruthless foe.",11,1,THE+GOD+OF+THE+HIVE
2033,EIGHT DAYS TO LIVE,Iris Johansen,St. Martin’s,A painting by Eve Duncan’s adopted daughter draws the ire of a religious cult.,14,2,EIGHT+DAYS+TO+LIVE
2034,BURNING LAMP,Amanda Quick,Putnam,A Victorian crime lord fears he has fallen prey to an ancestral curse; an Arcane Society novel.,15,2,BURNING+LAMP
2035,ISLAND BENEATH THE SEA,Isabel Allende,Harper/HarperCollins,The story of a mulatto slave in late-18th-century Haiti who flees with her master to New Orleans.,13,3,ISLAND+BENEATH+THE+SEA
2036,CAUGHT,Harlan Coben,Dutton,A social worker walks into the trap of a reporter who has made a name for herself bringing down sex offenders.,1,5,CAUGHT
2037,RETURN TO SENDER,Fern Michaels,Kensington,"Nineteen years after her baby’s father refused to marry her, a successful woman plots revenge, and puts a bright future at risk.",18,0,RETURN+TO+SENDER
2038,MATTERHORN,Karl Marlantes,El León Literary Arts/Atlantic Monthly,"Bloody folly envelops a Marine company’s construction, abandonment and retaking of a remote hilltop outpost in Vietnam.",10,8,MATTERHORN
2039,RECKLESS,Andrew Gross,Morrow,"A close friend from the investigator Ty Hauck's past has been brutally murdered, and he will risk everything he loves to avenge her death.",20,0,RECKLESS
2040,DEAD IN THE FAMILY,Charlaine Harris,Ace,Sookie Stackhouse is exhausted in the aftermath of a Fae war.,1,9,DEAD+IN+THE+FAMILY
2042,INNOCENT,Scott Turow,Grand Central,"When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, as Turow revisits the characters from “Presumed Innocent.”",10,7,INNOCENT
2048,BLUE-EYED DEVIL,Robert B Parker,Putnam,"
Virgil Cole and Everett Hitch take on a politically ambitious but crooked new chief of police in Appaloosa; Parker died earlier this year.",16,1,BLUE-EYED+DEVIL
2049,TELL-ALL,Chuck Palahniuk,Doubleday,"
A much-married star is seduced by a bounder who has written a memoir about her death in this sendup of celebrity culture.",10,1,TELL-ALL
2052,THE IMPERFECTIONISTS,Tom Rachman,Dial,Goings-on among the staff of an English-language newspaper in Rome.,13,4,THE+IMPERFECTIONISTS
2058,THE SCENT OF RAIN AND LIGHTNING,Nancy Pickard,Ballantine,,19,0,THE+SCENT+OF+RAIN+AND+LIGHTNING
2061,HEART OF THE MATTER,Emily Giffin,St. Martin’s,"The lives of two women — one married to a pediatric plastic surgeon, the other a lawyer and single mother — converge after an accident involving the lawyer’s son.",11,6,HEART+OF+THE+MATTER
2062,FEVER DREAM,Lincoln Child and Douglas Preston,Grand Central,"The F.B.I. agent Aloysius Pendergast, who has long thought that his wife was killed in an accident, learns that she was actually murdered.",11,3,FEVER+DREAM
2078,EXECUTIVE INTENT,Dale Brown,William Morrow,"With the United States unleashing a missile-launching satellite that can strike anywhere in seconds, China and Russia respond swiftly and brutally.",19,0,EXECUTIVE+INTENT
2080,61 HOURS,Lee Child,Delacorte,Jack Reacher helps the police in a small South Dakota town protect a witness in a drug trial.,1,6,61+HOURS
2081,STORM PREY,John Sandford,Putnam,Lucas Davenport’s wife is a witness to a botched robbery and murder in the 20th novel in the “Prey” series.,16,4,STORM+PREY
2089,A SECRET AFFAIR,Mary Balogh,Delacorte,The young widow of an elderly duke falls in love with Constantine Huxtable in the final entry of the Huxtable family series.,10,1,A+SECRET+AFFAIR
2090,SUPREME JUSTICE,Phillip Margolin,Harper/HarperCollins,Attacks on two justices seem to be related to a pending death-row appeal that could expose a criminal plot within the C.I.A.,11,1,SUPREME+JUSTICE
2095,HANNAH'S LIST,Debbie Macomber,Mira,"On the anniversary of his wife’s death, Dr. Michael Everett receives a letter she had written him. In it, she asks him to remarry — and she’s chosen three women for him to consider.",11,3,HANNAH%27S+LIST
2096,THE DOUBLE COMFORT SAFARI CLUB,Alexander McCall Smith,Pantheon,"The Botswanan detective Precious Ramotswe and her assistant, Grace Makutsi, travel to the Okavango Delta to deal with issues of great fortune and mistaken identity.",11,4,THE+DOUBLE+COMFORT+SAFARI+CLUB
2097,THIS BODY OF DEATH,Elizabeth George,Harper/HarperCollins,"Detective Thomas Lynley, grieving the murder of his wife, is called back to Scotland Yard when a woman’s body is found in a London cemetery.",14,4,THIS+BODY+OF+DEATH
2100,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf,The third volume of a trilogy about a Swedish hacker and a journalist.,1,9,THE+GIRL+WHO+KICKED+THE+HORNET%27S+NEST
2105,INNOCENT,Scott Turow,Grand Central,Turow revisits the characters from “Presumed Innocent.”,10,7,INNOCENT
2107,ALLIES,Christie Golden,Del Rey/Ballantine,The Skywalkers and the Sith undertake an unprecedented joint mission; a “Star Wars: Fate of the Jedi” book.,14,2,ALLIES
2108,BLOCKADE BILLY,Stephen King,Simon & Schuster,"A tale about the dark side of baseball, circa 1957.",13,3,BLOCKADE+BILLY
2112,DANGEROUS,Diana Palmer,HQN,A Texas F.B.I. agent falls in love with a woman with a past.,13,1,DANGEROUS
2117,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,Simon & Schuster,"When a deceased nun becomes a candidate for beatification, a long-held family secret threatens to emerge and take the life of an unsuspecting heiress.",1,6,THE+SHADOW+OF+YOUR+SMILE
2121,BULLET,Laurell K Hamilton,Berkley,"Anita Blake, vampire hunter, is menaced by the Mother of All Darkness, who wants to take over her body.",2,2,BULLET
2122,THE SPY,Clive Cussler and Justin Scott,Putnam,"In 1908, a murder leads the detective Isaac Bell to investigate international spies who are trying to keep America from developing a fleet of dreadnought battleships.",12,4,THE+SPY
2126,THE BURNING WIRE,Jeffery Deaver,Simon & Schuster,The forensic detective Lincoln Rhyme investigates a series of murderous electrical explosions and tracks the killer known as the Watchmaker to Mexico.,12,2,THE+BURNING+WIRE
2128,THE BOURNE OBJECTIVE,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne matches wits with a vicious Russian mercenary.,14,3,THE+BOURNE+OBJECTIVE
2132,BLOCKADE BILLY,Stephen King,Scribner,"A tale about the dark side of baseball, circa 1957.",13,3,BLOCKADE+BILLY
2134,THE RULE OF NINE,Steve Martini,Morrow/HarperCollins,"The lawyer Paul Madriani pursues the hired assassin Liquida, who is out for revenge, while a terrorist plots an attack on the United States.",15,1,THE+RULE+OF+NINE
2135,FEVER DREAM,Lincoln Child and Douglas Preston,Grand Central," The F.B.I. agent Aloysius Pendergast, who has long thought that his wife was killed in an accident, learns that she was actually murdered; originally published in 2010.",11,3,FEVER+DREAM
2138,THE PARTICULAR SADNESS OF LEMON CAKE,Aimee Bender,Doubleday,A girl has insights into other people’s secret emotions.,15,1,THE+PARTICULAR+SADNESS+OF+LEMON+CAKE
2141,THE LION,Nelson DeMille,Grand Central,"John Corey, now a federal agent, pursues a Libyan terrorist who has returned to America bent on revenge.",10,8,THE+LION
2142,THE PASSAGE,Justin Cronin,Ballantine,"More than a hundred years in the future, a small group resists the vampires who have taken over North America.",11,8,THE+PASSAGE
2144,THE SPY,Clive Cussler and Justin Scott,Putnam,"In 1908, a detective investigates spies who are trying to keep America from developing dreadnought battleships.",12,4,THE+SPY
2150,HEART OF THE MATTER,Emily Giffin,St. Martin’s,The lives of two women converge after an accident.,11,6,HEART+OF+THE+MATTER
2151,THE BURNING WIRE,Jeffery Deaver,Simon & Schuster,The forensic detective Lincoln Rhyme investigates a series of murderous electrical explosions.,12,2,THE+BURNING+WIRE
2154,DEATH ECHO,Elizabeth Lowell,Morrow/HarperCollins,A former C.I.A. operative tracks a yacht with a deadly cargo.,15,1,DEATH+ECHO
2160,THE OVERTON WINDOW,Glenn Beck,Threshold Editions/Mercury Radio Arts,A public relations executive and the woman he loves fight to expose a conspiracy to transform America.,1,7,THE+OVERTON+WINDOW
2164,WHIPLASH,Catherine Coulter,Putnam,"
The F.B.I. agents Dillon Savich and Lacey Sherlock help investigate misdeeds at a pharmaceutical company.",12,3,WHIPLASH
2166,FRANKENSTEIN: LOST SOULS,Dean Koontz,Bantam,Book 4 in the reimagining of the classic tale.,18,2,FRANKENSTEIN:+LOST+SOULS
2168,LOWCOUNTRY SUMMER,Dorothea Benton Frank,William Morrow/HarperCollins,"In this sequel to “Plantation,” a woman returns home after her mother’s death to encounter old secrets and lies.",11,2,LOWCOUNTRY+SUMMER
2169,SPIES OF THE BALKANS,Alan Furst,Random House,A police official in Salonika is surrounded by spies from many nations on the eve of the German invasion of Greece in 1940.,10,1,SPIES+OF+THE+BALKANS
2174,IMPERIAL BEDROOMS,Bret Easton Ellis,Knopf,"Characters from “Less Than Zero” are back in Los Angeles 25 years later, and one of them is murdered.",15,1,IMPERIAL+BEDROOMS
2177,THAT PERFECT SOMEONE,Johanna Lindsey,Gallery,"To avoid falling into a ruthless nobleman's trap, an heiress enters into a risky, intimate charade with a man she was once bound to wed.",18,0,THAT+PERFECT+SOMEONE
2178,HEART OF THE MATTER,Emily Giffin,St. Martin’s,"Two women in a Boston suburb have little in common beyond a fierce love for their children, but their lives converge after a tragic accident.",11,6,HEART+OF+THE+MATTER
2180,SIZZLING SIXTEEN,Janet Evanovich,St.Martin’s,The bounty hunter Stephanie Plum comes to the aid of a cousin with gambling debts.,1,8,SIZZLING+SIXTEEN
2183,FAMILY TIES,Danielle Steel,Delacorte,"A woman who raised her deceased sister’s three children must juggle their needs, her business and the new man in her life.",13,3,FAMILY+TIES
2187,WHIPLASH,Catherine Coulter,Putnam,"

The F.B.I. agents Dillon Savich and Lacey Sherlock help investigate misdeeds at a pharmaceutical company.",12,3,WHIPLASH
2192,MISSION OF HONOR,David Weber,Baen,Honor Harrington defends the Star Kingdom of Manticore as it is besieged by many enemies.,13,1,MISSION+OF+HONOR
2193,BROKEN,Karin Slaughter,Delacorte,There is friction between the Georgia Bureau of Investigation and the Grant County Police Department when Dr. Sara Linton calls in Special Agent Will Trent from Atlanta.,14,1,BROKEN
2196,INNOCENT,Scott Turow,Grand Central,"When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, 23 years after ""Presumed Innocent.""",10,7,INNOCENT
2200,PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,"Little, Brown",The head of an investigation company pursues the murderer of his best friend’s wife.,1,8,PRIVATE:+#1+SUSPECT
2203,THE OVERTON WINDOW,Glenn Beck,Threshold Editions/Mercury Radio Arts,A public relations executive and the woman he loves expose a dangerous conspiracy.,1,7,THE+OVERTON+WINDOW
2205,FOREIGN INFLUENCE,Brad Thor,Atria,The covert operative Scott Harvath joins a new spy agency and investigates a bombing in Rome that killed American students.,13,4,FOREIGN+INFLUENCE
2207,THE LION,Nelson DeMille,Grand Central,"John Corey, now a federal agent, pursues a Libyan terrorist.",10,8,THE+LION
2209,ICE COLD,Tess Gerritsen,Ballantine,A group of friends are murdered when they take refuge in a remote abandoned village in Wyoming.,10,3,ICE+COLD
