,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
703,AGINCOURT,Bernard Cornwell,Harper,An English archer with a complicated past joins Henry V at the famous battle against the French in 1415.,10,4,AGINCOURT
718,THE TEMPTATION OF THE NIGHT JASMINE,Lauren Willig,Dutton,,19,0,THE+TEMPTATION+OF+THE+NIGHT+JASMINE
720,THE ASSOCIATE,John Grisham,Doubleday,"An idealistic law-school graduate is forced to take a job at a large, brutalizing law firm.",1,9,THE+ASSOCIATE
724,WHAT I DID FOR LOVE,Susan Elizabeth Phillips,Morrow,"A former sitcom star, abandoned by her husband, elopes with her former co-star, who treats her badly.",11,3,WHAT+I+DID+FOR+LOVE
725,DARK OF NIGHT,Suzanne Brockmann,Ballantine,The head of an elite security force fakes the death of a friend who has left a shadowy government agency.,19,1,DARK+OF+NIGHT
729,A DARKER PLACE,Jack Higgins,Putnam,A Russian defector becomes a counterspy.,10,3,A+DARKER+PLACE
730,BASKETBALL JONES,E Lynn Harris,Doubleday,An N.B.A. star hides his male lover.,11,2,BASKETBALL+JONES
733,MOUNTING FEARS,Stuart Woods,Putnam,A president must deal with crises ranging from loose nukes in Pakistan to the reappearance of a rogue C.I.A. agent.,14,3,MOUNTING+FEARS
738,MEN OF THE OTHERWORLD,Kelley Armstrong,Bantam,,19,0,MEN+OF+THE+OTHERWORLD
739,NUCLEAR JELLYFISH,Tim Dorsey,William Morrow,,20,0,NUCLEAR+JELLYFISH
741,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,"Little, Brown",A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.,12,9,RUN+FOR+YOUR+LIFE
742,BONE CROSSED,Patricia Briggs,Ace,A shapeshifter who works as an auto mechanic in Washington State is menaced by a vampire.,12,4,BONE+CROSSED
744,TRUE COLORS,Kristin Hannah,St. Martin’s,"Rivalries, betrayal and forgiveness among three sisters.",10,3,TRUE+COLORS
748,VERY VALENTINE,Adriana Trigiani,Harper,An Italian-American shoemaker and her grandmother return to Italy to learn techniques to save their Greenwich Village company; the first book in a trilogy.,10,3,VERY+VALENTINE
759,KILL FOR ME,Karen Rose,Grand Central,,20,0,KILL+FOR+ME
763,FOOL,Christopher Moore,Morrow,"King Lear’s fool tries to set things right in this comic, bawdy version.",11,5,FOOL
769,VERY VALENTINE,Adriana Trigiani,Harper,An Italian-American shoemaker and her grandmother return to Italy to learn new techniques; the first book in a trilogy.,10,3,VERY+VALENTINE
770,AGINCOURT,Bernard Cornwell,Harper,An English archer joins Henry V at the famous battle in 1415.,10,4,AGINCOURT
771,THE WOMEN,T C Boyle,Viking,The loves of Frank Lloyd Wright.,11,2,THE+WOMEN
777,DROOD,Dan Simmons,"Little, Brown",,18,0,DROOD
782,HEART AND SOUL,Maeve Binchy,Knopf,A doctor establishes a heart clinic in a Dublin neighborhood.,11,6,HEART+AND+SOUL
786,DOG ON IT,Spencer Quinn,Atria,An all-too-human private investigator has a canine sidekick.,17,1,DOG+ON+IT
788,AMONG THE MAD,Jacqueline Winspear,Holt,Maisie Dobbs is involved in a hunt for a man who promises to wreak destruction on London.,9,1,AMONG+THE+MAD
793,WHILE MY SISTER SLEEPS,Barbara Delinsky,Doubleday,A woman makes discoveries about her sister and herself when the sister becomes gravely ill.,14,1,WHILE+MY+SISTER+SLEEPS
794,LETHAL LEGACY,Linda Fairstein,Doubleday,"Alexandra Cooper, a Manhattan assistant district attorney, tracks items stolen from the New York Public Library.",15,1,LETHAL+LEGACY
796,CUTTING FOR STONE,Abraham Verghese,Knopf,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia.",17,0,CUTTING+FOR+STONE
798,SECOND OPINION,Michael Palmer,St. Martin’s,A Boston doctor is the target of a plot that begins with a staged hit-and-run accident that nearly kills him.,19,0,SECOND+OPINION
800,PROMISES IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas investigates a colleague’s murder; by Nora Roberts, writing pseudonymously.",1,5,PROMISES+IN+DEATH
802,"WHITE WITCH, BLACK CURSE",Kim Harrison,Eos/William Morrow,A witch who is also a bounty hunter avenges her lover’s murder; Book 7 of the Hollows series.,12,4,"WHITE+WITCH,+BLACK+CURSE"
803,ONE DAY AT A TIME,Danielle Steel,Delacorte,A mother and her two daughters in a Hollywood family find very different kinds of love.,18,4,ONE+DAY+AT+A+TIME
805,NIGHT AND DAY,Robert B Parker,Putnam,"Jesse Stone, the police chief of Paradise, Mass., must catch a voyeur who forces women to strip at gunpoint.",10,5,NIGHT+AND+DAY
808,TERMINAL FREEZE,Lincoln Child,Doubleday,Scientists discover an ancient creature frozen in an Arctic cave and thaw it despite the villagers’ warnings.,11,4,TERMINAL+FREEZE
811,CREAM PUFF MURDER,Joanne Fluke,Kensington,Hannah Swenson searches for the killer of a seductive fitness instructor; recipes included.,12,1,CREAM+PUFF+MURDER
813,TEMPTATION AND SURRENDER,Stephanie Laurens,William Morrow,"In Regency England, a woman searching for her family’s treasure falls in love with a gentleman who has retired to rural Devon; a Cynster novel.",14,1,TEMPTATION+AND+SURRENDER
820,HANDLE WITH CARE,Jodi Picoult,Atria,"A woman whose daughter has a dangerous birth defect must decide whether to sue her obstetrician, an old friend.",1,9,HANDLE+WITH+CARE
823,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone must stop a killer.,12,9,RUN+FOR+YOUR+LIFE
825,THE HOST,Stephenie Meyer,"Little, Brown",One woman won''t surrender to the aliens have taken control.,10,9,THE+HOST
831,STORM FROM THE SHADOWS,David Weber,Baen,Star Kingdom faces an interstellar conspiracy.,12,1,STORM+FROM+THE+SHADOWS
832,PATHS OF GLORY,Jeffrey Archer,St. Martin’s,"Did George Mallory, who died climbing Mt. Everest in 1924, reach the summit?",13,3,PATHS+OF+GLORY
