,amazon_product_url,author,bestsellers_date,description,published_date,publisher,rank_last_week,rank_on_list,title,weeks_on_list,title_url,min_rank,max_weeks_on_list
8332,http://www.amazon.com/The-Obsession-Nora-Roberts/dp/0399175164?tag=NYTBS-20,Nora Roberts,2016-05-14,A woman is haunted by her father’s crimes as she tries to pursue love and her work as a photographer.,2016-05-29,Berkley,9,13,THE OBSESSION,5,THE+OBSESSION,1,5
8333,http://www.amazon.com/Bloodline-Star-Wars-Claudia-Gray-ebook/dp/B00Z3G1VU4?tag=NYTBS-20,Claudia Gray,2016-05-14,Leia Organa is urged to become First Senator of the New Republic,2016-05-29,Del Rey,5,14,STAR WARS: BLOODLINE,2,STAR+WARS:+BLOODLINE,14,2
8334,http://www.amazon.com/Everyone-Brave-Forgiven-Chris-Cleave/dp/1501124374?tag=NYTBS-20,Chris Cleave,2016-05-14,A young woman teaching in London and a soldier fall in love amid war and personal losses in a novel loosely based on the life of Cleave’s grandparents,2016-05-29,Simon & Schuster,16,15,EVERYONE BRAVE IS FORGIVEN,2,EVERYONE+BRAVE+IS+FORGIVEN,15,2
8335,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,Jojo Moyes,2016-05-14,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",2016-05-29,Pamela Dorman/Viking,0,16,AFTER YOU,12,AFTER+YOU,11,9
8336,http://www.amazon.com/Lilac-Girls-Martha-Hall-Kelly/dp/1101883073?tag=NYTBS-20,Martha Hall Kelly,2016-05-14,"The lives of a New York socialite and a young German doctor intersect with a Polish teenager who is sent to Ravensbrück, a Nazi concentration camp for women.",2016-05-29,Ballantine,0,17,LILAC GIRLS,0,LILAC+GIRLS,13,4
8337,http://www.amazon.com/Redemption-Road-Novel-John-Hart/dp/0312380364?tag=NYTBS-20,John Hart,2016-05-14,"This crime thriller involves a white detective under investigation for shooting two black men, and a cop newly released from prison who is shot by the son of the woman he was accused of killing.",2016-05-29,Thomas Dunne/St. Martin's,0,18,REDEMPTION ROAD,0,REDEMPTION+ROAD,15,1
8338,http://www.amazon.com/Millers-Valley-Novel-Anna-Quindlen-ebook/dp/B017QLSIGS?tag=NYTBS-20,Anna Quindlen,2016-05-14,A young woman comes of age during an assault on the land and the people she loves.,2016-05-29,Random House,0,19,MILLER'S VALLEY,0,MILLER%27S+VALLEY,10,4
8339,http://www.amazon.com/The-Noise-Time-A-novel/dp/1101947241?tag=NYTBS-20,Julian Barnes,2016-05-14,,2016-05-29,Knopf,0,20,THE NOISE OF TIME,0,THE+NOISE+OF+TIME,20,0
8340,http://www.amazon.com/Fireman-Novel-Joe-Hill-ebook/dp/B013C5M08O?tag=NYTBS-20,Joe Hill,2016-05-21,"During an epidemic that causes people to spontaneously combust, an infected New Hampshire nurse fights to stay alive, aided by a mysterious figure known as the Fireman.",2016-06-05,Morrow/HarperCollins,0,1,THE FIREMAN,1,THE+FIREMAN,1,2
8341,http://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,James Patterson and Maxine Paetro,2016-05-21,"A brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, who turns for help to the Women's Murder Club.",2016-06-05,"Little, Brown",1,2,15TH AFFAIR,3,15TH+AFFAIR,1,7
8342,http://www.amazon.com/Weekenders-Novel-Mary-Kay-Andrews-ebook/dp/B0177626W4?tag=NYTBS-20,Mary Kay Andrews,2016-05-21,"On the North Carolina island of Belle Isle, a woman investigates her husband’s shady financial affairs after his mysterious death.",2016-06-05,St. Martin's,0,3,THE WEEKENDERS,1,THE+WEEKENDERS,11,5
8343,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,2016-05-21,A psychological thriller set in the environs of London.,2016-06-05,Riverhead,3,4,THE GIRL ON THE TRAIN,71,THE+GIRL+ON+THE+TRAIN,1,9
8344,http://www.amazon.com/The-Last-Mile-Amos-Decker-ebook/dp/B016JC0THQ?tag=NYTBS-20,David Baldacci,2016-05-21,"In a sequel to “Memory Man,” Amos Decker, a detective with an extraordinary memory, helps the F.B.I. investigate the case of a convicted killer who wins a last-minute reprieve.",2016-06-05,Grand Central,2,5,THE LAST MILE,5,THE+LAST+MILE,1,9
8345,http://www.amazon.com/The-Nest-Cynthia-DAprix-Sweeney-ebook/dp/B010LU8V8Q?tag=NYTBS-20,Cynthia D'Aprix Sweeney,2016-05-21,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.,2016-06-05,Ecco/HarperCollins,5,6,THE NEST,9,THE+NEST,10,9
8346,http://www.amazon.com/Beyond-Ice-Limit-Gideon-Novel-ebook/dp/B016JC0SPO?tag=NYTBS-20,Douglas Preston and Lincoln Child,2016-05-21,"In a sequel to “The Ice Limit” (2000), Gideon Crew pursues a meteorite that has sunk to the ocean floor. Or is it only a meteorite?",2016-06-05,Grand Central,0,7,BEYOND THE ICE LIMIT,1,BEYOND+THE+ICE+LIMIT,15,2
8347,http://www.amazon.com/Everybodys-Fool-novel-Richard-Russo/dp/0307270645?tag=NYTBS-20,Richard Russo,2016-05-21,"We’re back in North Bath, N.Y., in a sequel to “Nobody’s Fool.”",2016-06-05,Knopf,7,8,EVERYBODY'S FOOL,3,EVERYBODY%27S+FOOL,10,4
8348,http://www.amazon.com/Extreme-Prey-John-Sandford-ebook/dp/B013D664Q6?tag=NYTBS-20,John Sandford,2016-05-21,"Lucas Davenport, who has left the Minnesota Bureau of Criminal Apprehension, is in Iowa trying to foil a plot to assassinate a Hillary Clinton-like candidate. The 26th Lucas Davenport thriller.",2016-06-05,Putnam,4,9,EXTREME PREY,4,EXTREME+PREY,1,6
8349,http://www.amazon.com/Highwayman-Longmire-Story-Craig-Johnson/dp/0735220891?tag=NYTBS-20,Craig Johnson,2016-05-21,Wyoming’s Sheriff Walt Longmire (the inspiration of the Netflix series “Longmire”) encounters the supernatural in this novella.,2016-06-05,Viking,0,10,THE HIGHWAYMAN,1,THE+HIGHWAYMAN,10,1
8350,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,Anthony Doerr,2016-05-21,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,2016-06-05,Scribner,10,11,ALL THE LIGHT WE CANNOT SEE,107,ALL+THE+LIGHT+WE+CANNOT+SEE,1,99
8351,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,Jojo Moyes,2016-05-21,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",2016-06-05,Pamela Dorman/Viking,16,12,AFTER YOU,13,AFTER+YOU,11,9
8352,http://www.amazon.com/The-Apartment-Novel-Danielle-Steel-ebook/dp/B017G7JXNE?tag=NYTBS-20,Danielle Steel,2016-05-21,Four young women share a Hell’s Kitchen loft.,2016-06-05,Delacorte,6,13,THE APARTMENT,3,THE+APARTMENT,13,3
8353,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,2016-05-21,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",2016-06-05,St. Martin's,11,14,THE NIGHTINGALE,64,THE+NIGHTINGALE,10,9
8354,http://www.amazon.com/Second-Life-Nick-Mason-Novel-ebook/dp/B014EOUONU?tag=NYTBS-20,Steve Hamilton,2016-05-21,"A deal with a fellow inmate, a crime boss, springs Nick Mason from prison, but he must become an assassin.",2016-06-05,Putnam,0,15,THE SECOND LIFE OF NICK MASON,1,THE+SECOND+LIFE+OF+NICK+MASON,15,1
8355,http://www.amazon.com/LaRose-A-Novel-Louise-Erdrich/dp/0062277022?tag=NYTBS-20,Louise Erdrich,2016-05-21,A North Dakota man who accidentally kills his best friend’s son gives up his own boy in exchange.,2016-06-05,Harper,8,16,LAROSE,2,LAROSE,11,3
8356,http://www.amazon.com/Boar-Island-Pigeon-Novel-Mysteries-ebook/dp/B0176QQRJS?tag=NYTBS-20,Nevada Barr,2016-05-21,,2016-06-05,Minotaur,0,17,BOAR ISLAND,0,BOAR+ISLAND,17,0
8357,http://www.amazon.com/Eligible-modern-retelling-Pride-Prejudice/dp/1400068320?tag=NYTBS-20,Curtis Sittenfeld,2016-05-21,"The author of “Prep” and “American Wife” retells “Pride and Prejudice,” set in the Cincinnati suburbs in the present.",2016-06-05,Random House,0,18,ELIGIBLE,0,ELIGIBLE,12,4
